gst-plugins-bad 1.16.2-13
gst-plugins-bad-libs 1.16.2-13
gst-plugins-base 1.16.2-2
gst-plugins-base-libs 1.16.2-2
gst-plugins-good 1.16.2-3
gst-plugins-ugly 1.16.2-3
gstreamer 1.16.2-2
gstreamer-vaapi 1.16.2-2
gtk 1.2.10-16
gtk-engine-murrine 0.98.2-4
gtk-update-icon-cache 1:3.24.21-1
gtk-vnc 1.0.0-2
gtk2 2.24.32-2
gtk2-perl 1.24993-2
gtk3 1:3.24.21-1
gtkd 3.9.0-8
gtkmm3 3.24.2-2
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.6.1-1
gtksourceviewmm 1:3.18.0-5
gtkspell3 3.0.10-2
gts 0.7.6.121130-2
gtypist 2.9.5-7
gucharmap 13.0.0-1
guile 2.2.6-2
guile2.0 2.0.14-4
gupnp 1.2.3-1
gupnp-igd 0.2.5+3+gedd78a6-3
gv 3.7.4-5
gvfs 1.44.1-4
gvfs-gphoto2 1.44.1-4
gvfs-mtp 1.44.1-4
gvfs-smb 1.44.1-4
gvim 8.2.0814-3
gzip 1.10-3
handbrake 1.3.3-2
handbrake-cli 1.3.3-2
harfbuzz 2.6.8-2
harfbuzz-icu 2.6.8-2
haskell-aeson 1.5.2.0-6
haskell-aeson-pretty 0.8.8-51
haskell-ansi-terminal 0.10.3-23
haskell-asn1-encoding 0.9.6-31
haskell-asn1-parse 0.9.5-31
haskell-asn1-types 0.3.4-10
haskell-assoc 1.0.1-4
haskell-async 2.2.2-12
haskell-attoparsec 0.13.2.4-8
haskell-base-compat 0.11.1-7
haskell-base-compat-batteries 0.11.1-30
haskell-base-orphans 0.8.2-33
haskell-base16-bytestring 0.1.1.7-1
haskell-base64-bytestring 1.1.0.0-6
haskell-basement 0.0.11-6
haskell-bifunctors 5.5.7-18
haskell-bitarray 0.0.1.1-16
haskell-blaze-builder 0.4.1.0-12
haskell-blaze-html 0.9.1.2-29
haskell-blaze-markup 0.8.2.5-7
haskell-byteable 0.1.1-18
haskell-case-insensitive 1.2.1.0-12
haskell-cereal 0.5.8.1-5
haskell-cmark-gfm 0.2.1-25
haskell-cmdargs 0.10.20-12
haskell-colour 2.3.5-47
haskell-comonad 5.0.6-26
haskell-connection 0.3.1-37
haskell-cookie 0.4.5-5
haskell-cryptonite 0.27-3
haskell-data-default 0.7.1.1-59
haskell-data-default-class 0.1.2.0-17
haskell-data-default-instances-containers 0.0.1-29
haskell-data-default-instances-dlist 0.0.1-72
haskell-data-default-instances-old-locale 0.0.1-29
haskell-digest 0.0.1.2-18
haskell-distributive 0.6.2-7
haskell-dlist 0.8.0.8-7
haskell-doclayout 0.3-18
haskell-doctemplates 0.8.2-19
haskell-emojis 0.1-20
haskell-erf 2.0.0.0-17
haskell-errors 2.3.0-54
haskell-glob 0.10.0-45
haskell-haddock-library 1.9.0-7
haskell-hashable 1.3.0.0-8
haskell-hourglass 0.2.12-55
haskell-hslua 1.1.2-2
haskell-hslua-module-system 0.2.1-46
haskell-hslua-module-text 0.2.1-55
haskell-hsyaml 0.2.1.0-25
haskell-http 4000.3.14-225
haskell-http-client 0.7.1-13
haskell-http-client-tls 0.3.5.3-259
haskell-http-types 0.12.3-62
haskell-hxt 9.3.1.18-101
haskell-hxt-charproperties 9.4.0.0-5
haskell-hxt-regex-xmlschema 9.2.0.3-21
haskell-hxt-unicode 9.0.2.4-17
haskell-integer-logarithms 1.0.3-6
haskell-ipynb 0.1.0.1-51
haskell-jira-wiki-markup 1.2.0-3
haskell-juicypixels 3.3.5-9
haskell-memory 0.15.0-22
haskell-mime-types 0.1.0.9-7
haskell-network 3.1.1.1-23
haskell-network-uri 2.6.3.0-116
haskell-old-locale 1.0.0.7-23
haskell-old-time 1.1.0.3-23
haskell-pandoc-types 1.20-47
haskell-pem 0.2.4-87
haskell-primitive 0.7.1.0-1
haskell-quickcheck 2.14-12
haskell-random 1.1-21
haskell-regex-base 0.94.0.0-4
haskell-regex-pcre 0.95.0.0-4
haskell-safe 0.3.19-1
haskell-scientific 0.3.6.2-25
haskell-sha 1.6.4.4-12
haskell-skylighting 0.8.5-8
haskell-skylighting-core 0.8.5-8
haskell-socks 0.6.1-30
haskell-split 0.2.3.4-34
haskell-splitmix 0.1-2
haskell-streaming-commons 0.2.1.2-24
haskell-syb 0.7.1-5
haskell-tagged 0.8.6-10
haskell-tagsoup 0.14.8-35
haskell-temporary 1.3-71
haskell-texmath 0.12.0.2-40
haskell-text-conversions 0.3.0-30
haskell-th-abstraction 0.3.2.0-4
haskell-these 1.1-4
haskell-time-compat 1.9.3-9
haskell-tls 1.5.4-17
haskell-transformers-compat 0.6.5-5
haskell-unicode-transforms 0.3.6-5
haskell-unordered-containers 0.2.11.0-4
haskell-utf8-string 1.0.1.1-17
haskell-uuid-types 1.0.3-31
haskell-vector 0.12.1.2-25
haskell-x509 1.7.5-64
haskell-x509-store 1.6.7-63
haskell-x509-system 1.6.6-131
haskell-x509-validation 1.6.11-63
haskell-xml 1.3.14-23
haskell-zip-archive 0.4.1-38
haskell-zlib 0.6.2.1-5
haxe 4.0.5-1
hdf5 1.12.0-2
hdparm 9.58-3
hexchat 2.14.3-2
hexedit 1.4.2-2
hfsprogs 540.1.linux3-1
hicolor-icon-theme 0.17-2
hidapi 0.9.0-2
hiredis 0.14.1-1
hopper 4.5.29-1
hspell 1.4-3
htop-vim-solarized-git 905.f161365-1
http-parser 2.9.4-1
httpie 2.2.0-1
hunspell 1.7.0-3
hunspell-en_US 2019.10.06-1
hunspell-pt_pt 20190329-1
hwids 20200306-1
hwloc 2.2.0-1
hyphen 2.8.8-3
i3-gaps-next-git 4.18.1.r146.g66d2eba8-1
i3status 2.13-3
i7z 0.27.2.git1-8
iana-etc 20200707-1
icu 67.1-1
iftop 1.0pre4-4
ifuse 1.1.4-1
ijs 0.35-3
imagemagick 7.0.10.23-1
imake 1.0.8-2
imlib2 1.6.1-2
inetutils 1.9.4-8
iniparser 4.1-2
inkscape 1.0-5
inotify-tools 3.20.2.1-1
intel-gmmlib 20.1.1-1
intel-media-driver 20.1.1-1
intel-media-sdk 20.2.0-1
intel-ucode 20200616-1
intellij-idea-community-edition 2:2020.1.2-1
iodine 0.7.0-4
iotop 0.6-7
iperf 2.0.13-2
iproute2 5.7.0-1
iptables 1:1.8.5-2
iputils 20190709-2
ipython 7.16.1-1
ipython2 5.9.0-1
irqbalance 1.6.0-2
iso-codes 4.5.0-1
iw 5.4-1
jack 0.125.0-9
jad 1.5.8e-8
jansson 2.13.1-1
jasper 2.0.16-2
java-environment-common 3-3
java-jline 1.0-6
java-rhino 1.7.7.2-2
java-runtime-common 3-3
jbig2dec 0.18-1
jdk-adoptopenjdk 14.0.1.u7-1
jdk11-openjdk 11.0.7.u10-1
jdk8-adoptopenjdk 8.u252-1
jemalloc 1:5.2.1-3
jmtpfs 0.5-2
joyutils 1.6.1-2
jq 1.6-3
jre11-openjdk 11.0.7.u10-1
jre11-openjdk-headless 11.0.7.u10-1
jre8-adoptopenjdk 8.u252-1
jre8-adoptopenjdk-headless 8.u252-1
js60 60.9.0-2
json-c 0.14-4
json-glib 1.4.4-2
jsoncpp 1.9.2-1
jstest-gtk-git 0.1.0.r98.g7a51eef-1
jucipp-git r2367.a34488d-1
jupyter 4.6.3-1
jupyter-nbconvert 5.6.1-1
jupyter-nbformat 5.0.6-1
jupyter-notebook 6.0.3-1
jupyter-widgetsnbextension 1:3.5.1-1
jupyter_console 6.1.0-1
jxrlib 0.2.1-3
k9s 0.21.2-1
kactivities 5.71.0-1
kakoune 2020.01.16-1
karchive 5.71.0-1
kasync 0.3.0-2
kauth 5.71.0-1
kbd 2.2.0-5
kbookmarks 5.71.0-1
kcalendarcore 5.71.0-1
kchmviewer 7.7-5
kcmutils 5.71.0-1
kcodecs 5.71.0-1
kcompletion 5.71.0-1
kconfig 5.71.0-1
kconfigwidgets 5.71.0-1
kcontacts 1:5.71.0-1
kcoreaddons 5.71.0-1
kcrash 5.71.0-1
kdav2 0.3.0-2
kdbg 3.0.1-1
kdbusaddons 5.71.0-1
kde-cli-tools 5.19.3-1
kdeclarative 5.71.0-1
kdeconnect 20.04.3-1
kded 5.71.0-1
kdesu 5.71.0-1
kdesvn 2.1.0-2
kdevelop 5.5.2-2
kdoctools 5.71.0-1
keepassxc 2.6.0-1
keyutils 1.6.3-1
kglobalaccel 5.71.0-1
kguiaddons 5.71.0-1
ki18n 5.71.0-1
kiconthemes 5.71.0-1
kimap2 0.3.0-2
kio 5.71.0-1
kirigami2 5.71.0-1
kitemmodels 5.71.0-1
kitemviews 5.71.0-1
kitty 0.18.1-1
kitty-terminfo 0.18.1-1
kjobwidgets 5.71.0-1
kmime 20.04.3-1
kmod 27-1
knewstuff 5.71.0-1
knotifications 5.71.0-1
knotifyconfig 5.71.0-1
kona-git 20200211-1
kotlin 1.3.72-1
kotlin-native-bin 1.3.72-1
kpackage 5.71.0-1
kparts 5.71.0-1
kpeople 5.71.0-1
kpeoplevcard 0.1-1
kpty 5.71.0-1
krb5 1.18.2-1
kservice 5.71.0-1
ktexteditor 5.71.0-1
ktextwidgets 5.71.0-1
kube 0.8.0-2
kubectl 1.18.5-1
kuserfeedback 1.0.0-1
kwallet 5.71.0-1
kwayland 5.71.0-1
kwidgetsaddons 5.71.0-1
kwindowsystem 5.71.0-1
kxmlgui 5.71.0-1
l-smash 2.14.5-2
ladspa 1.15-2
lame 3.100-3
lapack 3.9.0-3
lazydocker 0.9-2
lcms2 2.11-2
ldb 1:2.1.3-1
ldc 2:1.22.0-1
ldns 1.7.1-2
leiningen 2.9.3-1
lensfun 0.3.95-2
leptonica 1.79.0-1
less 551-3
lfe 1.3-1
lib32-alsa-lib 1.2.3.2-1
lib32-alsa-oss 1.1.8-2
lib32-alsa-plugins 1.2.2-1
lib32-at-spi2-atk 2.34.2-1
lib32-at-spi2-core 2.36.0-1
lib32-atk 2.36.0-1
lib32-attr 2.4.48-1
lib32-brotli 1.0.7-1
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.2+25+gaee96d175-1
lib32-colord 1.4.4-1
lib32-cracklib 2.9.7-1
lib32-curl 7.71.1-1
lib32-dbus 1.12.20-1
lib32-dbus-glib 0.110-2
lib32-dconf 0.36.0-1
lib32-e2fsprogs 1.45.6-1
lib32-expat 2.2.9-1
lib32-flac 1.3.3-1
lib32-fontconfig 2:2.13.91+48+gfcb0420-2
lib32-freeglut 3.2.1-1
lib32-freetype2 2.10.2-1
lib32-fribidi 1.0.10-1
lib32-gcc-libs 10.1.0-2
lib32-gdk-pixbuf2 2.40.0-1
lib32-giflib 5.2.1-1
lib32-glew1.10 1.10.0-4
lib32-glib-networking 2.64.3-1
lib32-glib2 2.64.4-1
lib32-glibc 2.31-5
lib32-glu 9.0.1-1
lib32-gmp 6.2.0-1
lib32-gnutls 3.6.14-1
lib32-gst-plugins-base-libs 1.16.2-1
lib32-gstreamer 1.16.2-1
lib32-gtk2 2.24.32-2
lib32-gtk3 3.24.21-1
lib32-harfbuzz 2.6.8-2
lib32-icu 67.1-1
lib32-imlib2 1.6.1-1
lib32-json-glib 1.4.4-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.18.2-1
lib32-lcms2 2.11-1
lib32-libappindicator-gtk2 12.10.0-11
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcaca 0.99.beta19-2
lib32-libcanberra 0.30+2+gc0620e4-3
lib32-libcap 2.36-1
lib32-libcups 2.3.3-1
lib32-libcurl-compat 7.71.1-1
lib32-libcurl-gnutls 7.71.1-1
lib32-libdatrie 0.2.12-1
lib32-libdbusmenu-glib 16.04.0-4
lib32-libdbusmenu-gtk2 16.04.0-4
lib32-libdrm 2.4.102-1
lib32-libelf 0.180-1
lib32-libepoxy 1.5.4-1
lib32-libffi 3.3-2
lib32-libgcrypt 1.8.6-1
lib32-libgcrypt15 1.5.6-5
lib32-libglvnd 1.3.2-1
lib32-libgpg-error 1.38-1
lib32-libgudev 233-1
lib32-libgusb 0.3.4-1
lib32-libice 1.0.10-1
lib32-libid3tag 0.15.1b-2
lib32-libidn11 1.33-1
lib32-libidn2 2.3.0-1
lib32-libindicator-gtk2 12.10.1-8
lib32-libjpeg-turbo 2.0.5-1
lib32-libjpeg6-turbo 1.5.3-2
lib32-libldap 2.4.50-1
lib32-libltdl 2.4.6+42+gb88cebd5-1
lib32-libmikmod 3.3.11.1-4
lib32-libmodplug 0.8.9.0-3
lib32-libnm-glib 1.18.5dev+12+ga8746f48ca-1
lib32-libnsl 1.2.0-2
lib32-libogg 1.3.4-2
lib32-libpciaccess 0.16-1
lib32-libpng 1.6.37-3
lib32-libpng12 1.2.59-2
lib32-libproxy 0.4.15-2
lib32-libpsl 0.21.0-1
lib32-libpulse 13.0-1
lib32-librsvg 2.48.8-1
lib32-librtmp0 2.4-4
lib32-libsm 1.2.3-1
lib32-libsndfile 1.0.28-3
lib32-libsoup 2.70.0-1
lib32-libssh2 1.9.0-1
lib32-libtasn1 4.16.0-1
lib32-libthai 0.1.28-1
lib32-libtheora 1.1.1-12
lib32-libtiff 4.1.0-1
lib32-libtiff4 3.9.7-4
lib32-libtirpc 1.2.6-1
lib32-libudev0-shim 1-4
lib32-libunistring 0.9.10-1
lib32-libunwind 1.3.1-1
lib32-libusb 1.0.23-1
lib32-libva 2.8.0-1
lib32-libva1 1.8.3-3
lib32-libvdpau 1.4-1
lib32-libvorbis 1.3.7-1
lib32-libvpx1.3 1.3.0-2
lib32-libwebp 1.1.0-1
lib32-libwrap 7.6.28-1
lib32-libx11 1.6.9-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.14-1
lib32-libxcomposite 0.4.5-1
lib32-libxcursor 1.2.0-1
lib32-libxdamage 1.1.5-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 5.0.3-2
lib32-libxft 2.3.3-1
lib32-libxi 1.7.10-2
lib32-libxinerama 1.1.4-1
lib32-libxkbcommon 0.10.0-1
lib32-libxml2 2.9.10-2
lib32-libxmu 1.1.3-1
lib32-libxrandr 1.5.2-1
lib32-libxrender 0.9.10-2
lib32-libxshmfence 1.3-2
lib32-libxslt 1.1.34-1
lib32-libxss 1.2.3-1
lib32-libxt 1.2.0-1
lib32-libxtst 1.2.3-2
lib32-libxv 1.0.11-2
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 10.0.0-1
lib32-lm_sensors 3.6.0-1
lib32-lz4 1.9.2-1
lib32-mesa 20.1.3-1
lib32-mpg123 1.26.1-1
lib32-ncurses 6.2-1
lib32-nettle 3.6-1
lib32-nspr 4.26-1
lib32-nss 3.54-1
lib32-ocl-icd 2.2.12-2
lib32-openal 1.20.1-1
lib32-openssl 1:1.1.1.g-1
lib32-openssl-1.0 1.0.2.u-1
lib32-opus 1.3.1-1
lib32-orc 0.4.31-1
lib32-p11-kit 0.23.20-4
lib32-pam 1.3.1-1
lib32-pango 1:1.44.7+11+g73b46b04-1
lib32-pcre 8.44-1
lib32-pixman 0.40.0-1
lib32-polkit 0.116-1
lib32-readline 8.0.0-1
lib32-rest 0.8.1-2
lib32-sdl 1.2.15-8
lib32-sdl2 2.0.12-1
lib32-sdl2_image 2.0.5-1
lib32-sdl2_mixer 2.0.4-1
lib32-sdl2_ttf 2.0.15-1
lib32-sdl_image 1.2.12-6
lib32-sdl_mixer 1.2.12-3
lib32-sdl_ttf 2.0.11-5
lib32-smpeg 0.4.5-3
lib32-sqlite 3.32.3-1
lib32-systemd 245.6-1
lib32-tdb 1.4.3-1
lib32-util-linux 2.35.2-1
